,articleTitle,publicationYear,doi,abstract,source
210,Chatbots for active learning: A case of phishing email identification,2023,10.1016/j.ijhcs.2023.103108,,ScienceDirect
211,Answer Prediction for Questions from Tamil and Hindi Passages,2023,10.1016/j.procs.2023.01.175,,ScienceDirect
212,Catalog and detection techniques of microservice anti-patterns and bad smells: A tertiary study,2023,10.1016/j.jss.2023.111829,,ScienceDirect
213,Transformer Based Sentiment Analysis on Code Mixed Data,2024,10.1016/j.procs.2024.03.257,,ScienceDirect
214,Content analysis of Chinese cities’ Five-Year Plan transport policy documents,2023,10.1016/j.cstp.2023.101055,,ScienceDirect
215,Sharing information with AI (versus a human) impairs brand trust: The role of audience size inferences and sense of exploitation,2024,10.1016/j.ijresmar.2023.08.011,,ScienceDirect
216,Co-creating art with generative artificial intelligence: Implications for artworks and artists,2024,10.1016/j.chbah.2024.100056,,ScienceDirect
217,ChatGPT - opportunities or threats in the educational process,2023,10.1016/j.procs.2023.10.453,,ScienceDirect
218,AI-driven business model innovation: A systematic review and research agenda,2024,10.1016/j.jbusres.2024.114764,,ScienceDirect
219,Sentiment Analysis of Custom Speech Corpus: A proof of concept for NLP,2024,10.1016/j.procs.2024.10.195,,ScienceDirect
220,"A I and contemporary challenges: The good, bad and the scary",2024,10.1016/j.joitmc.2023.100178,,ScienceDirect
221,Generative artificial intelligence in innovation management: A preview of future research developments,2024,10.1016/j.jbusres.2024.114542,,ScienceDirect
222,Intermedial semiotics in the age of artificial intelligence. Challenges and opportunities for the arts,2023,10.1016/j.techum.2024.04.001,,ScienceDirect
223,Is mouse dynamics information credible for user behavior research? An empirical investigation,2024,10.1016/j.csi.2024.103849,,ScienceDirect
224,"AI literacy for users – A comprehensive review and future research directions of learning methods, components, and effects",2024,10.1016/j.chbah.2024.100062,,ScienceDirect
225,The Metaverse: Innovations and generative AI,2024,10.1016/j.ijis.2024.04.004,,ScienceDirect
226,Towards highly adaptive Edu-Chatbot,2022,10.1016/j.procs.2021.12.260,,ScienceDirect
227,Deconstructing a form of hybrid investment fraud: Examining ‘pig butchering’ in the United States,2024,10.1016/j.jeconc.2024.100066,,ScienceDirect
228,The role of conversational AI agents in providing support and social care for isolated individuals,2024,10.1016/j.aej.2024.07.098,,ScienceDirect
229,"Digital transformation, productive services agglomeration and innovation performance",2024,10.1016/j.heliyon.2024.e25534,,ScienceDirect
230,Unleashing the power of artificial intelligence for climate action in industrial markets,2024,10.1016/j.indmarman.2023.12.011,,ScienceDirect
231,Network-integrated medical chatbot for enhanced healthcare services,2024,10.1016/j.teler.2024.100153,,ScienceDirect
232,Constructing a clinical radiographic knee osteoarthritis database using artificial intelligence tools with limited human labor: A proof of principle,2024,10.1016/j.joca.2023.11.014,,ScienceDirect
233,Generative AI in Responsible Conversational Agent Integration: Guidelines for Service Managers,2024,10.1016/j.orgdyn.2024.101045,,ScienceDirect
234,Exploring emotional dynamics: Word count effects in Facebook posts by sports shoe brands,2024,10.1016/j.heliyon.2024.e39808,,ScienceDirect
235,"New technology, psychiatry, and the law: Panic, prudence, possibility",2024,10.1016/j.ijlp.2024.101984,,ScienceDirect
236,"Examining strategic diversity communication on social media using supervised machine learning: Development, validation and future research directions",2024,10.1016/j.pubrev.2024.102431,,ScienceDirect
237,Triple Bottom Line impacts of traditional Product-Service Systems models: Myth or truth? A Natural Language Understanding approach,2022,10.1016/j.eiar.2022.106819,,ScienceDirect
238,Mixed reality videography. Analyzing joint behavior of human-agent- interactions in extended realities,2024,10.1016/j.chbah.2024.100063,,ScienceDirect
239,Consultative engagement of stakeholders toward a roadmap for African language technologies,2023,10.1016/j.patter.2023.100820,,ScienceDirect
240,Machine learning algorithms for teaching AI chat bots,2021,10.1016/j.procs.2021.06.086,,ScienceDirect
241,Here's to the future: Conversational agents in higher education- a scoping review,2023,10.1016/j.ijer.2023.102233,,ScienceDirect
242,The contingent effects of innovative digital sales technologies on B2B firms’ financial performance,2024,10.1016/j.ijresmar.2024.05.004,,ScienceDirect
243,Context and knowledge aware conversational model and system combination for grounded response generation,2020,10.1016/j.csl.2020.101070,,ScienceDirect
244,Evolving Convolutional Neural Networks with Meta-Heuristics for Transfer Learning in Computer Vision,2023,10.1016/j.procs.2023.12.121,,ScienceDirect
245,A sentiment-based risk indicator for the Mexican financial sector,2021,10.1016/j.latcb.2021.100036,,ScienceDirect
246,Modeling learners' behavioral intention toward using artificial intelligence in education,2024,10.1016/j.ssaho.2024.101167,,ScienceDirect
247,A value-oriented Artificial Intelligence-as-a-Service business plan using integrated tools and services,2023,10.1016/j.dajour.2023.100302,,ScienceDirect
248,User-Chatbot Conversations During the COVID-19 Pandemic: Study Based on Topic Modeling and Sentiment Analysis,2023,10.2196/40922,,ScienceDirect
249,Question Answering Chatbot for Troubleshooting Queries based on Transfer Learning,2021,10.1016/j.procs.2021.08.097,,ScienceDirect
250,The power of emotions: Leveraging user generated content for customer experience management,2022,10.1016/j.jbusres.2022.02.048,,ScienceDirect
251,"Perceptions, attitudes, and demographic influences on metaverse: A comprehensive investigation",2024,10.1016/j.chbr.2024.100441,,ScienceDirect
252,Sentiment Analysis using Bidirectional LSTM Network,2023,10.1016/j.procs.2022.12.400,,ScienceDirect
253,Exploring audience engagement with ChatGPT-related content on YouTube: Implications for content creators and AI tool developers,2024,10.1016/j.digbus.2023.100071,,ScienceDirect
254,A/B testing: A systematic literature review,2024,10.1016/j.jss.2024.112011,,ScienceDirect
255,Audio2AB: Audio-driven collaborative generation of virtual character animation,2024,10.1016/j.vrih.2023.08.006,,ScienceDirect
256,Forecasting extreme labor displacement: A survey of AI practitioners,2020,10.1016/j.techfore.2020.120323,,ScienceDirect
257,The Future of Digital Communication Research: Considering Dynamics and Multimodality,2022,10.1016/j.jretai.2021.01.007,,ScienceDirect
258,The rise of people analytics and the future of organizational research,2022,10.1016/j.riob.2023.100181,,ScienceDirect
259,Human personality in IT projects,2022,10.1016/j.procs.2022.09.482,,ScienceDirect
260,"AI for managing open innovation: Opportunities, challenges, and a research agenda",2023,10.1016/j.jbusres.2023.114196,,ScienceDirect
261,Futures of artificial intelligence through technology readiness levels,2021,10.1016/j.tele.2020.101525,,ScienceDirect
262,Data fusion methods in multimodal human computer dialog,2019,10.3724/SP.J.2096-5796.2018.0010,,ScienceDirect
263,Leveraging In-Store Technology and AI: Increasing Customer and Employee Efficiency and Enhancing their Experiences,2023,10.1016/j.jretai.2023.10.002,,ScienceDirect
264,Who’s afraid of automation? Examining determinants of fear of automation in six European countries,2024,10.1016/j.techsoc.2024.102782,,ScienceDirect
265,On the modeling of optimal and automatized cloud application deployment,2019,10.1016/j.jlamp.2019.06.001,,ScienceDirect
