,abstract,articleTitle,doi,publicationYear,source
0,,Discovering patterns and trends in customer service technologies patents using large language model,10.1016/j.heliyon.2024.e34701,2024.0,ScienceDirect
1,,“Can Popular AI Large Language Models Provide Reliable Answers to Frequently Asked Questions About Rotator Cuff Tears?”,10.1016/j.jseint.2024.11.012,2024.0,ScienceDirect
2,,Integrating human expertise & automated methods for a dynamic and multi-parametric evaluation of large language models’ feasibility in clinical decision-making,10.1016/j.ijmedinf.2024.105501,2024.0,ScienceDirect
3,,Responsible Use of Large Language Models: An Analogy with the Oxford Tutorial System,10.1016/j.sheji.2024.11.001,2024.0,ScienceDirect
4,,Harnessing large language models to auto-evaluate the student project reports,10.1016/j.caeai.2024.100268,2024.0,ScienceDirect
5,,The performance of artificial intelligence-based large language models on ophthalmology-related questions in Swedish proficiency test for medicine: ChatGPT-4 omni vs Gemini 1.5 Pro,10.1016/j.ajoint.2024.100070,2024.0,ScienceDirect
6,,A prototype of a conversational virtual university support agent powered by a large language model that addresses inquiries about policies in the student handbook,10.1016/j.procs.2024.06.278,2024.0,ScienceDirect
7,,Unmasking large language models by means of OpenAI GPT-4 and Google AI: A deep instruction-based analysis,10.1016/j.iswa.2024.200431,2024.0,ScienceDirect
8,,A comprehensive evaluation of large Language models on benchmark biomedical text processing tasks,10.1016/j.compbiomed.2024.108189,2024.0,ScienceDirect
9,,Integrating local knowledge with ChatGPT-like large-scale language models for enhanced societal comprehension of carbon neutrality,10.1016/j.egyai.2024.100440,2024.0,ScienceDirect
10,,Large language models for air transportation: A critical review,10.1016/j.jatrs.2024.100024,2024.0,ScienceDirect
11,,Leveraging Large Language Models for Improved Understanding of Communications With Patients With Cancer in a Call Center Setting: Proof-of-Concept Study,10.2196/63892,2024.0,ScienceDirect
12,,"Generative AI and Large Language Models - Benefits, Drawbacks, Future and Recommendations",10.1016/j.procs.2024.09.689,2024.0,ScienceDirect
13,,Performance of Large Language Models in Patient Complaint Resolution: Web-Based Cross-Sectional Survey,10.2196/56413,2024.0,ScienceDirect
14,,Normalizing Swiss German Dialects with the Power of Large Language Models,10.1016/j.procs.2024.10.202,2024.0,ScienceDirect
15,,Unlocking employer insights: Using large language models to explore human-centric aspects in the context of industry 5.0,10.1016/j.techfore.2024.123719,2024.0,ScienceDirect
16,,Ontology-integrated tuning of large language model for intelligent maintenance,10.1016/j.cirp.2024.04.012,2024.0,ScienceDirect
17,,Claude Rules: An Evaluation of Large Language Models’ Applicability to Solve Cases in German Business Law,10.1016/j.procs.2024.09.406,2024.0,ScienceDirect
18,,"An Adversarial Machine Learning Approach on Securing Large Language Model with Vigil, an Open-Source Initiative",10.1016/j.procs.2024.09.486,2024.0,ScienceDirect
19,,Questionable devices: Applying a large language model to deliberate carbon removal,10.1016/j.envsci.2024.103940,2024.0,ScienceDirect
20,,LLMs in e-commerce: A comparative analysis of GPT and LLaMA models in product review evaluation,10.1016/j.nlp.2024.100056,2024.0,ScienceDirect
21,,How Does ChatGPT Perform on the United States Medical Licensing Examination (USMLE)? The Implications of Large Language Models for Medical Education and Knowledge Assessment,10.2196/45312,2023.0,ScienceDirect
22,,Customer service chatbot enhancement with attention-based transfer learning,10.1016/j.knosys.2024.112293,2024.0,ScienceDirect
23,,Arabic sarcasm detection: An enhanced fine-tuned language model approach,10.1016/j.asej.2024.102736,2024.0,ScienceDirect
24,,Considerations for adapting higher education technology courses for AI large language models: A critical review of the impact of ChatGPT,10.1016/j.mlwa.2023.100513,2024.0,ScienceDirect
25,,LeanContext: Cost-efficient domain-specific question answering using LLMs,10.1016/j.nlp.2024.100065,2024.0,ScienceDirect
26,,"LLM GPT-3.5 study for sentiment analysis across Utkarsh server, Ohio supercomputer, Google Colab and PC",10.1016/j.rineng.2024.103218,2024.0,ScienceDirect
27,,Framework for LLM applications in manufacturing,10.1016/j.mfglet.2024.09.030,2024.0,ScienceDirect
28,,Students' Use of the Artificial Intelligence Language Model in their Learning Process,10.1016/j.procs.2023.10.299,2023.0,ScienceDirect
29,,Enhancing Customer Support in Banking: Leveraging AI for Efficient Ticket Classification,10.1016/j.procs.2024.09.235,2024.0,ScienceDirect
30,,Preventing the Immense Increase in the Life-Cycle Energy and Carbon Footprints of LLM-Powered Intelligent Chatbots,10.1016/j.eng.2024.04.002,2024.0,ScienceDirect
31,,Classical Machine Learning and Large Models for Text-Based Emotion Recognition,10.1016/j.procs.2024.08.013,2024.0,ScienceDirect
32,,"The Three Sides of the Moon LLMs in Cybersecurity: Guardians, Enablers and Targets",10.1016/j.procs.2024.09.653,2024.0,ScienceDirect
33,,<ce:marker name=fnspdcst alt=Podcast altimg-small=fnspdcst_s.svg altimg=fnspdcst_o.svg></ce:marker>The promise and peril of using a large language model to obtain clinical information: ChatGPT performs strongly as a fertility counseling tool with limitations,10.1016/j.fertnstert.2023.05.151,2023.0,ScienceDirect
34,,Key technologies of artificial intelligence in electric power customer service,10.1016/j.gloei.2022.01.005,2021.0,ScienceDirect
35,,Using LLMs and ontologies to extract causal relationships from medical abstracts,10.1016/j.procs.2024.10.219,2024.0,ScienceDirect
36,,Understanding the joint effects of internal and external anthropomorphic cues of intelligent customer service bot on user satisfaction,10.1016/j.dim.2023.100047,2023.0,ScienceDirect
37,,Managerial framework for evaluating AI chatbot integration: Bridging organizational readiness and technological challenges,10.1016/j.bushor.2024.05.004,2024.0,ScienceDirect
38,,"Perceived impact of generative AI on assessments: Comparing educator and student perspectives in Australia, Cyprus, and the United States",10.1016/j.caeai.2024.100269,2024.0,ScienceDirect
39,,Evaluating human resources management literacy: A performance analysis of ChatGPT and bard,10.1016/j.heliyon.2024.e27026,2024.0,ScienceDirect
40,,Reinforcement prompting for financial synthetic data generation,10.1016/j.jfds.2024.100137,2024.0,ScienceDirect
41,,Mind meets machine: Unravelling GPT-4’s cognitive psychology,10.1016/j.tbench.2023.100139,2023.0,ScienceDirect
42,,Innovating by prompting: How to facilitate innovation in the age of generative AI,10.1016/j.bushor.2024.04.014,2024.0,ScienceDirect
43,,"Unveiling security, privacy, and ethical concerns of ChatGPT",10.1016/j.jiixd.2023.10.007,2024.0,ScienceDirect
44,,LLM technologies and information search,10.1016/j.ject.2024.08.007,2024.0,ScienceDirect
45,,ChatGPT or Bard: Who is a better Certified Ethical Hacker?,10.1016/j.cose.2024.103804,2024.0,ScienceDirect
46,,Leveraging Generative AI Tools to Support the Development of Digital Solutions in Health Care Research: Case Study,10.2196/52885,2024.0,ScienceDirect
47,,Evaluating Transformers and Linguistic Features integration for Author Profiling tasks in Spanish,10.1016/j.datak.2024.102307,2024.0,ScienceDirect
48,,"Artificial Intelligence in Medical Education: Comparative Analysis of ChatGPT, Bing, and Medical Students in Germany",10.2196/46482,2023.0,ScienceDirect
49,,Revolutionary text clustering: Investigating transfer learning capacity of SBERT models through pooling techniques,10.1016/j.jestch.2024.101730,2024.0,ScienceDirect
50,,Real Estate with AI: An agent based on LangChain,10.1016/j.procs.2024.08.199,2024.0,ScienceDirect
51,,AI literacy for ethical use of chatbot: Will students accept AI ethics?,10.1016/j.caeai.2024.100251,2024.0,ScienceDirect
52,,Conversational Chatbot for Cigarette Smoking Cessation: Results From the 11-Step User-Centered Design Development Process and Randomized Controlled Trial,10.2196/57318,2024.0,ScienceDirect
53,,Adoption and impacts of generative artificial intelligence: Theoretical underpinnings and research agenda,10.1016/j.jjimei.2024.100232,2024.0,ScienceDirect
54,,Creational and conversational AI affordances: How the new breed of chatbots is revolutionizing knowledge industries,10.1016/j.bushor.2024.05.006,2024.0,ScienceDirect
55,,ChatReview: A ChatGPT-enabled natural language processing framework to study domain-specific user reviews,10.1016/j.mlwa.2023.100522,2024.0,ScienceDirect
56,,Analyzing the potential benefits and use cases of ChatGPT as a tool for improving the efficiency and effectiveness of business operations,10.1016/j.tbench.2023.100140,2023.0,ScienceDirect
57,,GPT and CLT: The impact of ChatGPT's level of abstraction on consumer recommendations,10.1016/j.jretconser.2023.103580,2024.0,ScienceDirect
58,,Factors affecting performance expectancy and intentions to use ChatGPT: Using SmartPLS to advance an information technology acceptance framework,10.1016/j.techfore.2024.123247,2024.0,ScienceDirect
59,,Contrastive adversarial gender debiasing,10.1016/j.nlp.2024.100092,2024.0,ScienceDirect
60,,Transforming sentiment analysis in the financial domain with ChatGPT,10.1016/j.mlwa.2023.100508,2023.0,ScienceDirect
61,,Benchmarking ChatGPT for prototyping theories: Experimental studies using the technology acceptance model,10.1016/j.tbench.2024.100153,2023.0,ScienceDirect
62,,Conceptualizing generative AI as style engines: Application archetypes and implications,10.1016/j.ijinfomgt.2024.102824,2024.0,ScienceDirect
63,,Computer says ‘no’: Exploring systemic bias in ChatGPT using an audit approach,10.1016/j.chbah.2024.100054,2024.0,ScienceDirect
64,,Assessing the Role of the Generative Pretrained Transformer (GPT) in Alzheimer’s Disease Management: Comparative Study of Neurologist- and Artificial Intelligence–Generated Responses,10.2196/51095,2024.0,ScienceDirect
65,,"A study on ChatGPT for Industry 4.0: Background, potentials, challenges, and eventualities",10.1016/j.ject.2023.08.001,2023.0,ScienceDirect
66,,On the Application of Generative Artificial Intelligence ChatGPT in Digital Trade,10.1016/j.procs.2024.10.014,2024.0,ScienceDirect
67,,Programming with ChatGPT: How far can we go?,10.1016/j.mlwa.2024.100526,2024.0,ScienceDirect
68,,Unlocking the opportunities through ChatGPT Tool towards ameliorating the education system,10.1016/j.tbench.2023.100115,2023.0,ScienceDirect
69,,Airline reviews processing: Abstractive summarization and rating-based sentiment classification using deep transfer learning,10.1016/j.jjimei.2024.100238,2024.0,ScienceDirect
70,,From HAL to GenAI: Optimizing chatbot impacts with CARE,10.1016/j.bushor.2024.04.012,2024.0,ScienceDirect
71,,Appraisal of ChatGPT’s Aptitude for Medical Education: Comparative Analysis With Third-Year Medical Students in a Pulmonology Examination,10.2196/52818,2024.0,ScienceDirect
72,,Humans are still better than ChatGPT: Case of the IEEEXtreme competition,10.1016/j.heliyon.2023.e21624,2023.0,ScienceDirect
73,,Assessing the efficacy of ChatGPT in addressing Chinese financial conundrums: An in-depth comparative analysis of human and AI-generated responses,10.1016/j.chbah.2023.100007,2023.0,ScienceDirect
74,,Trajectories of AI technologies: Insights for managers,10.1016/j.bushor.2024.03.002,2024.0,ScienceDirect
75,,Adapting the GPT engine for proactive customer insight extraction in product development,10.1016/j.mfglet.2024.09.164,2024.0,ScienceDirect
76,,“Chatting with ChatGPT”: Analyzing the factors influencing users' intention to Use the Open AI's ChatGPT using the UTAUT model,10.1016/j.heliyon.2023.e20962,2023.0,ScienceDirect
77,,The risks of using ChatGPT to obtain common safety-related information and advice,10.1016/j.ssci.2023.106244,2023.0,ScienceDirect
78,,Managing a ChatGPT-empowered workforce: Understanding its affordances and side effects,10.1016/j.bushor.2024.04.009,2024.0,ScienceDirect
79,,Sentiment Analysis of Customer Feedback and Reviews for Airline Services using Language Representation Model,10.1016/j.procs.2023.01.221,2023.0,ScienceDirect
80,,"Opinion Paper: “So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research, practice and policy",10.1016/j.ijinfomgt.2023.102642,2023.0,ScienceDirect
81,,ChatGPT: The AI Game-Changing Revolution in Marketing Strategy for the Indonesian Cosmetic Industry,10.1016/j.procs.2024.03.091,2024.0,ScienceDirect
82,,The application of chatbot in gastroenterology nursing,10.1016/j.gande.2023.07.003,2023.0,ScienceDirect
83,,From Text to Action: NLP Techniques for Washing Machine Manual Processing,10.1016/j.procs.2024.04.181,2024.0,ScienceDirect
84,,"Performance of ChatGPT on UK Standardized Admission Tests: Insights From the BMAT, TMUA, LNAT, and TSA Examinations",10.2196/47737,2023.0,ScienceDirect
85,,"Benchmarking, ethical alignment, and evaluation framework for conversational AI: Advancing responsible development of ChatGPT",10.1016/j.tbench.2023.100136,2023.0,ScienceDirect
86,,Development of domain-specific automatic speech recognition models based on open-source data,10.1016/j.procs.2023.12.028,2023.0,ScienceDirect
87,,"An era of ChatGPT as a significant futuristic support tool: A study on features, abilities, and challenges",10.1016/j.tbench.2023.100089,2022.0,ScienceDirect
88,,Accelerating editorial processes in scientific journals: Leveraging AI for rapid manuscript review,10.1016/j.oor.2024.100511,2024.0,ScienceDirect
89,,Efficient intent classification and entity recognition for university administrative services employing deep learning models,10.1016/j.iswa.2023.200247,2023.0,ScienceDirect
90,,User-centric evaluation of EHR software through NLP-driven investigation: Implications for product development and user experience,10.1016/j.joitmc.2023.100206,2024.0,ScienceDirect
91,,"How do system and user characteristics, along with anthropomorphism, impact cognitive absorption of chatbots – Introducing SUCCAST through a mixed methods study",10.1016/j.dss.2023.114132,2024.0,ScienceDirect
92,,Spanish MEACorpus 2023: A multimodal speech–text corpus for emotion analysis in Spanish from natural environments,10.1016/j.csi.2024.103856,2024.0,ScienceDirect
93,,Implementing artificial intelligence empowered financial advisory services: A literature review and critical research agenda,10.1016/j.jbusres.2023.114494,2024.0,ScienceDirect
94,,A hybrid machine learning model for sentiment analysis and satisfaction assessment with Turkish universities using Twitter data,10.1016/j.dajour.2024.100473,2024.0,ScienceDirect
95,,A method for improving bot effectiveness by recognising implicit customer intent in contact centre conversations,10.1016/j.specom.2022.07.003,2022.0,ScienceDirect
96,,"Evaluating privacy, security, and trust perceptions in conversational AI: A systematic review",10.1016/j.chb.2024.108344,2024.0,ScienceDirect
97,,GenAI in Rule-based Systems for IoMT Security: Testing and Evaluation,10.1016/j.procs.2024.09.652,2024.0,ScienceDirect
98,,Aspect-based automated evaluation of dialogues,10.1016/j.knosys.2023.110901,2023.0,ScienceDirect
99,,Analyzing the packaging design evaluation based on image emotion perception computing,10.1016/j.heliyon.2024.e31408,2024.0,ScienceDirect
200,,Conversation-based hybrid UI for the repertory grid technique: A lab experiment into automation of qualitative surveys,10.1016/j.ijhcs.2024.103227,2024.0,ScienceDirect
201,,Definition and implementation of the Cloud Infrastructure for the integration of the Human Digital Twin in the Social Internet of Things,10.1016/j.comnet.2024.110632,2024.0,ScienceDirect
202,,Enhancing trust in online grocery shopping through generative AI chatbots,10.1016/j.jbusres.2024.114737,2024.0,ScienceDirect
203,,Speech corpus for Medina dialect,10.1016/j.jksuci.2023.101864,2024.0,ScienceDirect
204,,"Compulsive ChatGPT usage, anxiety, burnout, and sleep disturbance: A serial mediation model based on stimulus-organism-response perspective",10.1016/j.actpsy.2024.104622,2024.0,ScienceDirect
205,,From Twitter to Aso-Rock: A sentiment analysis framework for understanding Nigeria 2023 presidential election,10.1016/j.heliyon.2023.e16085,2023.0,ScienceDirect
206,,Making personnel selection smarter through word embeddings: A graph-based approach,10.1016/j.mlwa.2021.100214,2022.0,ScienceDirect
207,,Homophobia and transphobia detection for low-resourced languages in social media comments,10.1016/j.nlp.2023.100041,2023.0,ScienceDirect
208,,ChatGPT in the higher education: A systematic literature review and research challenges,10.1016/j.ijer.2024.102411,2024.0,ScienceDirect
209,,Artificial intelligence as a driver of business process transformation,10.1016/j.procs.2022.11.067,2022.0,ScienceDirect
210,,Chatbots for active learning: A case of phishing email identification,10.1016/j.ijhcs.2023.103108,2023.0,ScienceDirect
211,,Answer Prediction for Questions from Tamil and Hindi Passages,10.1016/j.procs.2023.01.175,2023.0,ScienceDirect
212,,Catalog and detection techniques of microservice anti-patterns and bad smells: A tertiary study,10.1016/j.jss.2023.111829,2023.0,ScienceDirect
213,,Transformer Based Sentiment Analysis on Code Mixed Data,10.1016/j.procs.2024.03.257,2024.0,ScienceDirect
214,,Content analysis of Chinese cities’ Five-Year Plan transport policy documents,10.1016/j.cstp.2023.101055,2023.0,ScienceDirect
215,,Sharing information with AI (versus a human) impairs brand trust: The role of audience size inferences and sense of exploitation,10.1016/j.ijresmar.2023.08.011,2024.0,ScienceDirect
216,,Co-creating art with generative artificial intelligence: Implications for artworks and artists,10.1016/j.chbah.2024.100056,2024.0,ScienceDirect
217,,ChatGPT - opportunities or threats in the educational process,10.1016/j.procs.2023.10.453,2023.0,ScienceDirect
218,,AI-driven business model innovation: A systematic review and research agenda,10.1016/j.jbusres.2024.114764,2024.0,ScienceDirect
219,,Sentiment Analysis of Custom Speech Corpus: A proof of concept for NLP,10.1016/j.procs.2024.10.195,2024.0,ScienceDirect
220,,"A I and contemporary challenges: The good, bad and the scary",10.1016/j.joitmc.2023.100178,2024.0,ScienceDirect
221,,Generative artificial intelligence in innovation management: A preview of future research developments,10.1016/j.jbusres.2024.114542,2024.0,ScienceDirect
222,,Intermedial semiotics in the age of artificial intelligence. Challenges and opportunities for the arts,10.1016/j.techum.2024.04.001,2023.0,ScienceDirect
223,,Is mouse dynamics information credible for user behavior research? An empirical investigation,10.1016/j.csi.2024.103849,2024.0,ScienceDirect
224,,"AI literacy for users – A comprehensive review and future research directions of learning methods, components, and effects",10.1016/j.chbah.2024.100062,2024.0,ScienceDirect
225,,The Metaverse: Innovations and generative AI,10.1016/j.ijis.2024.04.004,2024.0,ScienceDirect
226,,Towards highly adaptive Edu-Chatbot,10.1016/j.procs.2021.12.260,2022.0,ScienceDirect
227,,Deconstructing a form of hybrid investment fraud: Examining ‘pig butchering’ in the United States,10.1016/j.jeconc.2024.100066,2024.0,ScienceDirect
228,,The role of conversational AI agents in providing support and social care for isolated individuals,10.1016/j.aej.2024.07.098,2024.0,ScienceDirect
229,,"Digital transformation, productive services agglomeration and innovation performance",10.1016/j.heliyon.2024.e25534,2024.0,ScienceDirect
230,,Unleashing the power of artificial intelligence for climate action in industrial markets,10.1016/j.indmarman.2023.12.011,2024.0,ScienceDirect
231,,Network-integrated medical chatbot for enhanced healthcare services,10.1016/j.teler.2024.100153,2024.0,ScienceDirect
232,,Constructing a clinical radiographic knee osteoarthritis database using artificial intelligence tools with limited human labor: A proof of principle,10.1016/j.joca.2023.11.014,2024.0,ScienceDirect
233,,Generative AI in Responsible Conversational Agent Integration: Guidelines for Service Managers,10.1016/j.orgdyn.2024.101045,2024.0,ScienceDirect
234,,Exploring emotional dynamics: Word count effects in Facebook posts by sports shoe brands,10.1016/j.heliyon.2024.e39808,2024.0,ScienceDirect
235,,"New technology, psychiatry, and the law: Panic, prudence, possibility",10.1016/j.ijlp.2024.101984,2024.0,ScienceDirect
236,,"Examining strategic diversity communication on social media using supervised machine learning: Development, validation and future research directions",10.1016/j.pubrev.2024.102431,2024.0,ScienceDirect
237,,Triple Bottom Line impacts of traditional Product-Service Systems models: Myth or truth? A Natural Language Understanding approach,10.1016/j.eiar.2022.106819,2022.0,ScienceDirect
238,,Mixed reality videography. Analyzing joint behavior of human-agent- interactions in extended realities,10.1016/j.chbah.2024.100063,2024.0,ScienceDirect
239,,Consultative engagement of stakeholders toward a roadmap for African language technologies,10.1016/j.patter.2023.100820,2023.0,ScienceDirect
240,,Machine learning algorithms for teaching AI chat bots,10.1016/j.procs.2021.06.086,2021.0,ScienceDirect
241,,Here's to the future: Conversational agents in higher education- a scoping review,10.1016/j.ijer.2023.102233,2023.0,ScienceDirect
242,,The contingent effects of innovative digital sales technologies on B2B firms’ financial performance,10.1016/j.ijresmar.2024.05.004,2024.0,ScienceDirect
243,,Context and knowledge aware conversational model and system combination for grounded response generation,10.1016/j.csl.2020.101070,2020.0,ScienceDirect
244,,Evolving Convolutional Neural Networks with Meta-Heuristics for Transfer Learning in Computer Vision,10.1016/j.procs.2023.12.121,2023.0,ScienceDirect
245,,A sentiment-based risk indicator for the Mexican financial sector,10.1016/j.latcb.2021.100036,2021.0,ScienceDirect
246,,Modeling learners' behavioral intention toward using artificial intelligence in education,10.1016/j.ssaho.2024.101167,2024.0,ScienceDirect
247,,A value-oriented Artificial Intelligence-as-a-Service business plan using integrated tools and services,10.1016/j.dajour.2023.100302,2023.0,ScienceDirect
248,,User-Chatbot Conversations During the COVID-19 Pandemic: Study Based on Topic Modeling and Sentiment Analysis,10.2196/40922,2023.0,ScienceDirect
249,,Question Answering Chatbot for Troubleshooting Queries based on Transfer Learning,10.1016/j.procs.2021.08.097,2021.0,ScienceDirect
250,,The power of emotions: Leveraging user generated content for customer experience management,10.1016/j.jbusres.2022.02.048,2022.0,ScienceDirect
251,,"Perceptions, attitudes, and demographic influences on metaverse: A comprehensive investigation",10.1016/j.chbr.2024.100441,2024.0,ScienceDirect
252,,Sentiment Analysis using Bidirectional LSTM Network,10.1016/j.procs.2022.12.400,2023.0,ScienceDirect
253,,Exploring audience engagement with ChatGPT-related content on YouTube: Implications for content creators and AI tool developers,10.1016/j.digbus.2023.100071,2024.0,ScienceDirect
254,,A/B testing: A systematic literature review,10.1016/j.jss.2024.112011,2024.0,ScienceDirect
255,,Audio2AB: Audio-driven collaborative generation of virtual character animation,10.1016/j.vrih.2023.08.006,2024.0,ScienceDirect
256,,Forecasting extreme labor displacement: A survey of AI practitioners,10.1016/j.techfore.2020.120323,2020.0,ScienceDirect
257,,The Future of Digital Communication Research: Considering Dynamics and Multimodality,10.1016/j.jretai.2021.01.007,2022.0,ScienceDirect
258,,The rise of people analytics and the future of organizational research,10.1016/j.riob.2023.100181,2022.0,ScienceDirect
259,,Human personality in IT projects,10.1016/j.procs.2022.09.482,2022.0,ScienceDirect
260,,"AI for managing open innovation: Opportunities, challenges, and a research agenda",10.1016/j.jbusres.2023.114196,2023.0,ScienceDirect
261,,Futures of artificial intelligence through technology readiness levels,10.1016/j.tele.2020.101525,2021.0,ScienceDirect
262,,Data fusion methods in multimodal human computer dialog,10.3724/SP.J.2096-5796.2018.0010,2019.0,ScienceDirect
263,,Leveraging In-Store Technology and AI: Increasing Customer and Employee Efficiency and Enhancing their Experiences,10.1016/j.jretai.2023.10.002,2023.0,ScienceDirect
264,,Who’s afraid of automation? Examining determinants of fear of automation in six European countries,10.1016/j.techsoc.2024.102782,2024.0,ScienceDirect
265,,On the modeling of optimal and automatized cloud application deployment,10.1016/j.jlamp.2019.06.001,2019.0,ScienceDirect
